id,section_id,name,time_start,time_end,day,created_at,updated_at
224,90,UB,20:35,21:25,---J---,"0000-00-00 00:00:00","0000-00-00 00:00:00"
225,111,DA,20:30,21:20,-T-----,"0000-00-00 00:00:00","0000-00-00 00:00:00"
226,108,QA,20:30,21:20,-T-----,"0000-00-00 00:00:00","0000-00-00 00:00:00"
227,109,AE,16:40,18:20,M-W----,"0000-00-00 00:00:00","0000-00-00 00:00:00"
228,109,AF,16:40,18:20,M-W----,"0000-00-00 00:00:00","0000-00-00 00:00:00"
229,110,UA,14:45,16:25,M------,"0000-00-00 00:00:00","0000-00-00 00:00:00"
230,110,UB,14:45,16:25,--W----,"0000-00-00 00:00:00","0000-00-00 00:00:00"
231,111,DA,20:30,22:10,--W----,"0000-00-00 00:00:00","0000-00-00 00:00:00"
232,111,DB,20:30,22:10,--W----,"0000-00-00 00:00:00","0000-00-00 00:00:00"
233,111,DC,20:30,22:10,M------,"0000-00-00 00:00:00","0000-00-00 00:00:00"
234,112,PA,20:30,22:10,-T-----,"0000-00-00 00:00:00","0000-00-00 00:00:00"
235,112,PB,20:30,22:10,-T-----,"0000-00-00 00:00:00","0000-00-00 00:00:00"
236,112,PC,20:30,22:10,-T-----,"0000-00-00 00:00:00","0000-00-00 00:00:00"
237,113,AE,13:45,15:25,-T-J---,"0000-00-00 00:00:00","0000-00-00 00:00:00"
238,120,QA,16:15,17:55,-T-----,"0000-00-00 00:00:00","0000-00-00 00:00:00"
239,120,QB,14:45,16:25,---J---,"0000-00-00 00:00:00","0000-00-00 00:00:00"
240,115,RA,16:15,17:55,-T-----,"0000-00-00 00:00:00","0000-00-00 00:00:00"
241,115,RB,16:15,17:55,-T-----,"0000-00-00 00:00:00","0000-00-00 00:00:00"
242,122,DA,20:30,22:10,--W----,"0000-00-00 00:00:00","0000-00-00 00:00:00"
243,122,DB,20:30,22:10,--W----,"0000-00-00 00:00:00","0000-00-00 00:00:00"
244,117,SA,14:45,16:25,-T-----,"0000-00-00 00:00:00","0000-00-00 00:00:00"
245,117,SB,14:45,16:25,-T-----,"0000-00-00 00:00:00","0000-00-00 00:00:00"
246,118,NA,20:30,22:10,---J---,"0000-00-00 00:00:00","0000-00-00 00:00:00"
247,118,NB,20:30,22:10,-T-----,"0000-00-00 00:00:00","0000-00-00 00:00:00"
248,119,CE,16:40,18:20,-T-J---,"0000-00-00 00:00:00","0000-00-00 00:00:00"
249,119,CF,11:15,13:00,--W-F--,"0000-00-00 00:00:00","0000-00-00 00:00:00"
250,120,QA,10:15,11:55,-T-----,"0000-00-00 00:00:00","0000-00-00 00:00:00"
251,120,QB,10:15,11:55,-T-----,"0000-00-00 00:00:00","0000-00-00 00:00:00"
252,121,NA,14:45,16:35,M------,"0000-00-00 00:00:00","0000-00-00 00:00:00"
253,121,NB,14:45,16:35,M------,"0000-00-00 00:00:00","0000-00-00 00:00:00"
254,122,DA,11:45,13:35,---J---,"0000-00-00 00:00:00","0000-00-00 00:00:00"
255,122,DB,11:45,13:35,---J---,"0000-00-00 00:00:00","0000-00-00 00:00:00"
256,123,AE,16:40,18:20,M-W----,"0000-00-00 00:00:00","0000-00-00 00:00:00"
257,123,AF,16:40,18:20,M-W----,"0000-00-00 00:00:00","0000-00-00 00:00:00"
258,123,AG,16:40,18:20,M-W----,"0000-00-00 00:00:00","0000-00-00 00:00:00"
259,124,QA,10:15,11:55,M------,"0000-00-00 00:00:00","0000-00-00 00:00:00"
260,124,QB,10:15,11:55,--W----,"0000-00-00 00:00:00","0000-00-00 00:00:00"
261,124,QC,08:45,10:25,----F--,"0000-00-00 00:00:00","0000-00-00 00:00:00"
262,124,QD,10:15,11:55,M------,"0000-00-00 00:00:00","0000-00-00 00:00:00"
263,125,RA,08:45,10:25,----F--,"0000-00-00 00:00:00","0000-00-00 00:00:00"
264,125,RB,10:15,11:55,M------,"0000-00-00 00:00:00","0000-00-00 00:00:00"
265,125,RC,10:15,11:55,--W----,"0000-00-00 00:00:00","0000-00-00 00:00:00"
266,126,EA,11:45,13:35,-T-----,"0000-00-00 00:00:00","0000-00-00 00:00:00"
267,126,EB,11:45,13:35,---J---,"0000-00-00 00:00:00","0000-00-00 00:00:00"
268,126,EC,17:45,19:35,M------,"0000-00-00 00:00:00","0000-00-00 00:00:00"
269,127,UA,11:45,13:25,----F--,"0000-00-00 00:00:00","0000-00-00 00:00:00"
270,127,UB,11:45,13:25,--W----,"0000-00-00 00:00:00","0000-00-00 00:00:00"
271,128,WA,10:15,11:50,M------,"0000-00-00 00:00:00","0000-00-00 00:00:00"
272,128,WB,14:45,16:25,--W----,"0000-00-00 00:00:00","0000-00-00 00:00:00"
273,129,CE,18:20,20:00,-T-J---,"0000-00-00 00:00:00","0000-00-00 00:00:00"
274,129,CF,18:20,20:00,M-W----,"0000-00-00 00:00:00","0000-00-00 00:00:00"
275,130,DA,12:45,14:25,M------,"0000-00-00 00:00:00","0000-00-00 00:00:00"
276,130,DB,16:15,17:55,--W----,"0000-00-00 00:00:00","0000-00-00 00:00:00"
277,131,SA,10:15,11:55,--W----,"0000-00-00 00:00:00","0000-00-00 00:00:00"
278,131,SB,11:45,13:25,M------,"0000-00-00 00:00:00","0000-00-00 00:00:00"
279,132,UA,10:15,11:55,M------,"0000-00-00 00:00:00","0000-00-00 00:00:00"
280,132,UB,11:45,13:25,--W----,"0000-00-00 00:00:00","0000-00-00 00:00:00"
281,133,PA,20:30,22:10,---J---,"0000-00-00 00:00:00","0000-00-00 00:00:00"
282,133,PB,17:45,19:25,----F--,"0000-00-00 00:00:00","0000-00-00 00:00:00"
283,133,PC,20:30,22:10,---J---,"0000-00-00 00:00:00","0000-00-00 00:00:00"
284,133,PD,17:45,19:25,----F--,"0000-00-00 00:00:00","0000-00-00 00:00:00"
285,134,DA,20:30,21:20,M------,"0000-00-00 00:00:00","0000-00-00 00:00:00"
286,134,DB,21:30,22:20,M------,"0000-00-00 00:00:00","0000-00-00 00:00:00"
287,135,AE,17:30,18:20,-T-J---,"0000-00-00 00:00:00","0000-00-00 00:00:00"
288,135,AF,17:30,18:20,-T-J---,"0000-00-00 00:00:00","0000-00-00 00:00:00"
289,136,EA,11:45,12:35,---J---,"0000-00-00 00:00:00","0000-00-00 00:00:00"
